fuli,gaikuang,gsname,hangye,jinyan,job_name,renshu,xingzhi,xinxi,xinzi,xueli
"周末双休,五险一金,节日福利,餐饮补贴,交通补贴",合肥常春藤移动科技有限公司一直以来专注于移动互联网游戏与应用产品的开发、运营。公司秉承简单、谦卑、极致、箭速迭代的企业理念，致力于为大众提供高品质的娱乐产品和服务，创造健康的娱乐生活方式。公司员工结构年轻化，工作氛围轻松，为员工提供各种丰厚的福利及优越的发展空间。,合肥常春藤移动科技有限公司,"互联网/电子商务,网络游戏",3-4年经验,云平台与机器学习高级研发工程师,50-150人,民营公司,"岗位描述：,1、参与运营推广云平台的需求分析和功能设计，结合业务和数据场景，提出专业、合理的可视化方案建议；,2、了解相关系统的数据上下游关系，完成数据信息的梳理与数据模型的搭建；,3、负责机器学习算法、深度学习算法、广告投放算法的研发和应用；,4、承担数据云平台及相关产品的研发和维护工作，交付高质量的产品和服务；,5、参加部门的技术研讨与项目协作开发，输出相关专利、标准；,岗位要求：,1、计算机、数学或相关专业本科及以上学历，三年以上软件开发工作经验；,2、良好的编程基础，掌握,等编程开发和常用数据结构、算法；,3、精通,熟悉一个或多个开源深度学习框架（例如,）；,4、具备良好的职业素养，较强的自我管理和沟通能力，有责任心和团队合作精神；,5、具备良好的创新和合作精神，较强的进取心和英语能力。,加分项：,1、中科大本，硕，博毕业生优先；,2、有,、图像处理和识别、视频内容识别等理论和知识基础，擅于跟踪和学习最前沿的学术界和工业界的人工智能技术优先；,3、有,编程优化经验优先；,4、有大规模分布式系统相关开发,架构经验优先。,职能类别：,关键字：",1.5-2万/月,本科
"五险一金,交通补贴,餐饮补贴,通讯补贴,专业培训,年终奖金,定期体检,弹性工作,十三薪,带薪病假","关于我们：,    中国医药工业信息中心（暨工业和信息化部医药工业信息中心）原名上海医药工业研究院信息中心，组建于1958年，曾先后隶属化工部、国家医药管理总局、国家经贸委、国家发改委，自2009年起承担“工业和信息化部医药工业信息中心”职能至今，是中国医药行业中历史最悠久、最具权威性、技术力量最雄厚的信息研究机构。,    作为重要的***信息中心和专业从事医药信息的研究咨询机构，中国医药工业信息中心成立60年来，一直秉承“全方位服务理念、无边界信息平台”的宗旨，以“权威、科学、严谨”为特色，致力于医药信息的研究和服务，既承担着为国家政府提供行业规划分析和决策参考依据的使命，又肩负着向医药行业企业提供专业信息咨询、提升行业技术水平的重任。,    在此基础上，信息中心不仅承担了多项国家和地方政府部门课题，也为众多国内外制药企业提供度身定做的咨询报告；不仅持续出版《中国医药工业杂志》、《世界临床药物》等专业权威的核心期刊，还编辑撰写了《医药地理》、《全球畅销药物榜单评述》、《中国医院用药市场格局》等多套被称为“行业经典”的杂志资料；更重要的是，中心还分系列构筑了广为业内使用的医药信息资讯和数据库检索平台，颇具行业口碑和影响力。,独家优势：,60年的历史传承与专业积淀,独一无二的行业背景和政府/企业/医疗机构资源,国内外制药企业及主流金融投资机构的广泛合作,服务目标：,热情（Passion）塑品行！,专业（Profession）创品质！,权威（Prestige）铸品牌！,服务理念：,无边界信息平台  高品质信息服务",中国医药工业信息中心,"制药/生物工程,专业服务(咨询、人力资源、财会)",招1人,机器学习工程师,50-150人,国企,"1、熟练掌握自然语言处理,相关理论与技术方法；,2、熟练掌握使用,，熟悉正则，至少掌握一种脚本语言；,3、,4、熟悉了解人工智能、机器学习等领域的前沿方向与研究动向；,5、具备将机器学习与自然语言处理的理论转化为实践的能力；,6、具有相关项目研发经验者（项目主要参与人员）优先。,7、计算机或数学相关本科以上学历，数学功底扎实，具有良好的数据挖掘和深度学习的知识,8、在以下至少一个领域有深入研究：,图像视频算法，,算法，深度强化学习，图网络等,9、,，或,，有良好的编程能力，熟悉,、,、,中至少一种深度学习框架,10、有激情，责任心强，执行力强，团队合作和沟通能力佳,职能类别：,关键字：",1.5-2万/月,
"五险一金,员工旅游,通讯补贴,绩效奖金,定期体检,交通补贴,餐饮补贴,年终奖金,补充医疗保险,股票期权","深圳昂楷科技有限公司（ANKKI）创立于2009，是国内知名的数据安全厂商。万物互联的大数据时代，我们致力于为大数据提供大安全，让人们放心地享受大数据。,昂楷是一家典型的技术驱动型企业，目前昻楷已拥有四十多项专利与软件著作权，并且顺利通过了CMMI3级认证，成功入选2018年度IDC中国数据安全市场创新者，研发质量获得国际认可。同时，昂楷参与制订了多项国家及行业数据安全标准，技术实力、综合能力在业内首屈一指。在政府、公安、司法、交通、医疗、教育、能源、金融、军队、运营商等各行业，您都可以看到昂楷为客户提供的安全可靠且极具创造力的产品与解决方案。,另外，昂楷在行业内连续几年发起“寻找不一样的VIP”的活动，寻找有想法、想用好产品、对产品有高要求的客户，我们不仅不收定制费，还给与答谢，以此来引导用户与我们紧密协作、不断促进我们围绕着解决实际问题来创新，提升自我。希望您成为我们的下一个VIP，为昂楷在大数据安全建设上提供更多、更好的建议。,堂堂正正做人，踏踏实实做产品的态度让昂楷更卓越；,成就他人，成就自我的理念让昂楷无惧未来。,我们深信，只有具有深厚的行业积累、专业的服务能力，才能为客户提供优质的产品体验。十年奋斗，不改初心，我们期待与您共同成长，共创价值！,更多昂楷科技相关信息，欢迎访问昂楷科技官方网站http://www.ankki.com,公司福利：,年底绩效奖金：一切与投入产出成正比，1-4个月不等；,节日福利：女神节，端午节，中秋节，春节价值300-500不等的节日福利，年货、小礼品更是应有尽有；,旅游：每年都会组织两次旅游，国内国外，想去哪里玩，你自己说；,年假：一年5天的带薪年假，让你春节有更多的时间陪伴家人；,下午茶：每周四固定下午茶，新鲜水果，美味蛋糕，你喜欢的话，卫龙辣条也有；,五险一金：那是必须滴，针对外地出差的同学我们更是准备了额外贴心的商业险；,健康体检：身体是革命的本钱，有了健康的体魄，才能实现伟大的梦想！,培训：内部分享机制，每个员工都要分享ta自己最擅长的知识！,加薪：一年两次涨薪机会，只为优秀的你准备；,奖励机制：优秀员工，月度之星，流动红旗，说不定都是你的哦~,娱乐活动：羽毛球，篮球活动不定时组织，妈妈再也不用担心我的身体啦！,我们还准备了免费的咖啡花茶、好吃零食，还有各种小绿植，保证你在昂楷大家庭里健健康康，衣食无忧！,公司地址：深圳市南山区智恒战略性新兴产业园30栋5楼,联系电话：0755-83187801,乘车参考路线：,（1）公交站：南头检查站  南头小关  常富楼；,（2）地铁站：新安站A出口、翻身站B出口到转公交至新乐社区公交站下车前行100米。",深圳昂楷科技有限公司,计算机服务(系统、数据服务、维修),2年经验,机器学习算法工程师(J10333),150-500人,民营公司,"工作职责,1,应用有监督、无监督类机器学习算法，主要从数据安全设备的相关大数据（审计日志、扫描日志和风险事件）中发掘风险行为,2,研究已有算法的瓶颈，提出合理的改进措施和解决方案,岗位要求,1、计算机、数学本科或者硕士以上学历,2、1,3年在机器学习和数据挖掘有扎实的理论基础和实践经验，熟悉各类算法，包括但不限于时间序列预测算法,0、分类聚类算法、异常监测算法等,3、必须能实践调算法参数,4、能写,或者,程序优先，,5、有用户行为序列归类和分析经验优先,6、有大规模分布式计算平台的使用（,、,）和并行算法开发经验者优先,7、严密的数学思维、突出的分析和归纳能力、优秀的沟通表达能力,职能类别：,关键字：",1-1.5万/月,本科
"五险一金,商业保险,带薪年假,带薪病假,免费班车,节日福利,专业培训,年终奖金","盖瑞特是汽车涡轮增压的真正先驱，其历史可追溯到60多年前，并在今天继续作为世界领先的涡轮增压技术解决方案和经验丰富的电动增压产品和汽车软件供应商，以支持乘用车、商用车和非道路车辆设备。拥有遍布全球的工程中心、测试实验室和制造工厂，盖瑞特为所有主流汽车公司提供差异化技术服务。盖瑞特提供前所未有的机遇与挑战，把你的激情带到快节奏和专业的工作氛围中。,盖瑞特公司介绍：,全球汽车行业差异化创新技术的领导者盖瑞特，前身为霍尼韦尔交通系统部门，于2018年10月1日正式从霍尼韦尔集团完成拆分，成为一家独立公司并在纽交所成功上去（纽交所上市代码: GTX）。公司主要产品组合包括涡轮增压器、适用于混动和氢燃料汽车的电动增压器和汽车软件方案，致力于提供差异化的先进技术，让车辆更安全、更互联、更高效、更环保。公司总部位于瑞士罗尔，为全球各地的乘用车、商用车、售后替换市场和赛车改装客户服务已超过65年。,在中国，公司拥有近1000名员工，包含超过200人的工程研发团队，具备研发、工程、市场、商务、生产、供应链等全面的端到端客户服务能力，与国内30多家主机厂客户建立了深厚和广泛的合作关系，不仅为传统汽油、柴油、天然气和混动及氢燃料汽车等新能源汽车提供广泛产品线的涡轮增压及电动增压技术，还提供智能网联汽车安全和车辆健康管理解决方案。公司在全球范围内第二大规模，拥有主机台架测试能力的涡轮增压实验室也设立在上海研发中心，并已运营近15年。,立足于 “东方服务于东方” 的市场战略，基于本土客户的开发需求，公司研发中心打造端到端的本土开发工程能力，快速响应中国客户需求，提供高可靠性、高效节能减排的汽油和柴油发动机涡轮增压器，满足国六标准，全力支持中国客户打赢蓝天保卫战。,公司荣获多项客户认可和“中国汽车零部件百强企业”、“浦东先进制造20强”、“浦东新区先进制造企业突出贡献奖”等多项行业和政府机构荣誉。,在汽车行业迅猛的局势变革中，公司提供给员工有潜力的发展空间与国际化的工作平台，有规范完整的福利体系，崇尚多元与包容，鼓励创新和协作，并构建一个在诚信和尊重基础上的工作环境。,更多信息，欢迎访问：www.garrettmotion.com",霍尼韦尔汽车零部件服务（上海）有限公司,"汽车,机械/设备/重工",2年经验,机器学习 算法工程师,500-1000人,外资（欧美）,"1,1,职能类别：,关键字：",2-3万/月,本科
"五险一金,包住,专业培训,员工旅游,免费班车,年终奖金","盛视科技股份有限公司成立于一九九七年一月，注册资金9300万元，是一家专业从事软件研发、智能化产品研发生产、系统集成的多元化***高新技术企业，是中国安防百强企业、广东省500强企业、广东省服务业百强企业、广东省优秀系统集成工程商、深圳市软件百强企业。,公司总部设在深圳，在北京、上海、珠海、山西、安徽、云南、广州、广西、内蒙古、新疆、大连、武汉、福建等地设立了分支机构。公司设有技术力量雄厚、行业经验丰富的研发中心、质检中心，独立的生产基地。公司正处于不断发展壮大的良好时期，根据公司的发展目标，计划在短期内登陆资本市场。,公司拥有一支高素质的员工队伍， 80%的员工拥有本科以上学历。有抱负、有思想、有能力、有责任的高素质人才是公司运作的坚强支柱。公司经营团队树立了坚定的信念和目标：做中国***的智能化系统集成商和智能化产品供应商。,盛视科技秉承“尊重人才、培育人才、德才兼备、人尽其才”的人才观，重视每位员工的职业发展，量才适用，依能定岗，激发员工潜能和创造力，为员工提供广阔的发展平台，以员工的能力和对企业的贡献作为衡量员工价值的标准，使优秀人才脱颖而出。,不以资格论英雄，仅以才德选英才， 盛视科技期待着您——一位有理想、有抱负的优秀人才——加盟！,我们为您提供：,  整洁、宽敞的办公环境，高效的信息平台,  入职即买五险一金；,  所有假期均按国家规定执行，除此之外公司还设有个性假期。（夫妻分居假）,  舒适的员工公寓，内设空调、冰箱、热水器、网络等设施。,  办理人事招调，户口迁移,  设置优秀员工奖、十年贡献奖、技术创新奖等多项激励奖项,  每年组织员工市外旅游，不定期组织各种娱乐、体育活动,  组织各种专业培训，提升员工综合素质",盛视科技股份有限公司,"计算机硬件,计算机服务(系统、数据服务、维修)",1年经验,机器学习算法工程师,500-1000人,合资,"岗位要求：,1、计算机、数学、自动化、机器学习相关专业统招本科及以上学历；,2、精通,库，熟练使用,等至少一种深度学习框架，能够进行完整的机器学习模型开发、调优和部署应用；,3、精通,、,等至少一种语言，熟悉跨平台的算法应用；,4、有针对安防行业的图像、视频进行过相关模式识别、机器学习；,5、对机器学习的前沿领域有着强烈的兴趣，有扎实的理论基础和丰富的研发经验，对算法原理及应用有较深入的理解；,6、具有自我驱动能力和良好的沟通协作能力。,职能类别：",1.5-2万/月,本科
"五险一金,绩效奖金,年终奖金,定期体检,餐饮补贴","西安九索数据技术股份有限公司（九索数据，证券代码：838988）创建于2010年11月15日，专注于城市精细化管理的研发，是中国科学院西安光学精密机械研究所的大数据应用工程中心，陕西省信息化和工业化融合典型示范企业，并且为军民融合试点单位。,公司拥有20件著作权，获得信息系统业务安全服务证书、ISO9001质量认证证书、西安市创新创业大赛一等奖，公司为高新技术企业、陕西省双软认证企业、陕西省（西安市）民营科技企业。",西安九索数据技术股份有限公司,计算机软件,2年经验,机器学习算法工程师,50-150人,民营公司,"1、负责需求分析与算法验证，熟练掌握数学、统计学、计算机等相关知识；,2、熟练使用,，掌握至少一门开发语言，如,、,、,，能使用开发工具,或其他工具开发，进行算法验证；,3、熟悉机器学习、人工智能相关知识，对前沿研究保持兴趣；,4、了解基本的大数据组件相关知识，有一定的大数据平台之上开发经验；,5、想象力丰富，具备公安、电力、互联网等相关行业数据分析经验；,0,0,0,6、工作积极严谨，具备较强的学习能力、快速解决问题的能力以及团队协作能力。,职能类别：,关键字：",0.8-1.5万/月,本科
"五险一金,员工旅游,餐饮补贴,专业培训,出国机会,绩效奖金,年终奖金,定期体检","扬州航盛科技有限公司，隶属于深圳市航盛电子股份有限公司。母公司成立于1993年，注册资本2.4亿元，拥有汽车电子行业***技术中心，国内市场占有率达25%，拥有12个集团控股子公司，国内主要汽车厂产品覆盖率90%，经营产值50亿元。,扬州航盛坐落于扬州市经济技术开发区智谷大厦，拥有4500平米的现代化研发场所，是一家主要从事汽车电子产品、智能辅助驾驶技术及智能网联服务整体解决方案的高新技术企业；目前拥有博士、硕士及高端技术人才200多人，其中90%以上为本科及以上人才。预计3~5年将引进高端研发人员超过400人,年销售额将超亿元。,薪酬待遇：五险一金  免费午餐  培训  带薪休假  健康体检  节日礼金  文体娱乐,工作地点：扬州、成都、武汉 、深圳、杭州、柳州,          1、深圳：宝安区福永镇航盛工业园 或 深圳市南山区高新南六道航盛科技大厦,          2、扬州：扬子江中路186号智谷大厦6-8层,          3、成都：高新区天府三街新希望国际大厦B座21层2102,          4、柳州：柳州市马厂路1号白露工业基地,          5、杭州：杭州市西湖区文二西路西溪创意大厦,          ,联系方式：,扬州：0514-85828822-8158,成都：028-68955890",扬州航盛科技有限公司,"汽车,计算机软件",1年经验,安卓机器学习工程师,150-500人,民营公司,"1,系统中人工智能相关的开发工作；,2,构建,移动端机器学习框架；,3,能够在主流机器学习框架下去构建机器学习模型；,任职条件：,1,本科2年开发经验，硕士1年开发经验,2,熟练使用,常规调试工具，熟练,、,、,等相关开发；,3,精通,一种以上编程语言,有,开发经验优先考虑,；,4,独立进行过,软件架构代码开发者优先,；,5,对安卓端人工智能产品开发有一定了解者优先；,6,熟悉至少一种深度学习框架（,等）；,7,具备良好学习、沟通能力及团队协作精神，对工作积极严谨，勇于承担压力；,职能类别：",0.9-2万/月,本科
none,"北京新兴东方航空装备股份有限公司成立于1997年，是专业从事随动系统、机载视频系统及综合测试系统的研发、生产、销售及服务于一体的高新技术企业。公司于2018年8月28日成功在深交所中小板上市，股票简称：”新兴装备”，股票代码：“002933”。,公司秉承“务实、创新、坚韧、奉献”的精神，坚持走自主创新的发展道路。拥有一支高素质的科研队伍，建立了电磁兼容、随动系统仿真、视频暗室等多个实验室，通过了军工企业资质认证，承担了多个军工型号项目（课题）的研发任务。公司技术水平处于国内领先地位，部分技术已经达到国际先进水平，核心技术拥有自主知识产权，已取得9项授权发明专利，获科技进步一等奖1项，产品广泛应用于航空、船舶、装甲车辆等多个军工领域，性能稳定、品质卓越。,不忘初心，方得始终。公司将继续以国防建设为己任，坚持自主可控、创新发展的道路和“利国、利民、利军、利企、利友、利己”的经营理念，为推动国防建设和装备发展，实现中国梦、强军梦贡献自己的力量。",北京新兴东方航空装备股份有限公司,"航天/航空,学术/科研",3-4年经验,机器学习算法工程师,150-500人,上市公司,"岗位职责：,1、负责研发机器学习、模式识别、深度学习算法开发；,2、负责研发基于图像,点云,雷达的物体检测、运动估计以及语义分割算法；,3、负责开发多传感器融合的三维环境感知算法；,4、负责与嵌入式深度学习算法工程师写作，针对产品平台进行算法优化；,任职要求：,1、计算机科学、信息工程、电子工程、机器人学等专业硕士及以上学历，有,开发经验；,2、在模式识别、机器学习、深度学习、机器人学等领域有深入认识，并了解各算法的条件和瓶颈；,3、具有点云数据处理、立体视觉、多视图几何、多传感器融合等科研或开发经验者优先；,4、具有物体识别、物体检测、目标跟踪、语义分割、人脸识别等科研或开发经验者优先；,5、在相关领域主流会议或期刊发表过论文者优先；,6、具有良好的沟通和写作能力。,职能类别：",2-5万/月,硕士
"五险一金,绩效奖金,定期体检,年终奖金,股票期权,餐饮补贴",擎盾数据（Aegis Data）致力于成为法律科技智能化行业的***，深耕政法领域10年，致力于运用深度机器学习、自然语言理解和法律知识图谱技术，自主研发法律数据、知识、工具、算法、应用五位一体深度融合的法律AI能力及产品平台，赋能法律工作者，重构法律服务，为用户提供标准化、智能化、平民化智能化法律服务及解决方案,南京擎盾信息科技有限公司,"计算机服务(系统、数据服务、维修),计算机软件",1年经验,机器学习&自然语言处理研发工程师,150-500人,民营公司,"（1,负责大规模文本数据库处理，包括生文本预处理、过滤，语言模型生成，未登录词识别等，语料库维护,（2,构建和应用领域知识图谱,（3,负责特定领域数据提取，主要为业务提供关键数据,（4,抽取领域事件，文本分类，文本情感分析,任职要求：,（1,自然语言处理方向1年以上研究或项目经验，如分词、词性标注、实体识别、情感分析、文本分类,（2,熟悉,方向国际上的一些研究方向和热点,（3,熟悉常用的机器学习算法，熟悉常用的文本语义分析算法,（4,熟悉中文分词标注、文本分类、语言模型、知识库挖掘等,相关算法,（5,精通,、,等,（6,良好的沟通和团队合作能力,（7,有,方向系统工作经验优先,（8,从事过实际爬虫开发、内容提取工作经验者优先,职能类别：,关键字：",1.8-2.5万/月,本科
"周末双休,弹性工作,交通便利,邻近地铁站","    汇付天下（01806.HK）由中国金融支付领域的资深管理人士于2006年7月在上海发起成立，并作为“中国乃至亚洲金融支付领域的***股”于2018年6月在港交所主板成功上市。,    公司旨在以创新的支付和金融科技解决方案，为商业和消费者创造价值。秉承这一使命，公司不断提升核心竞争力，年交易量突破万亿，在支付行业的各项细分市场中都位居前列，尤其在为小微商户提供支付服务的独立第三方支付公司中排名***。,    公司作为中国第三方支付行业的先行者，首家获得中国证监会颁发的基金销售支付结算许可；首批获得央行颁发的支付业务许可；首批获得国家外汇管理局颁发的跨境支付许可。历年来在服务航空业等传统行业、基金业等传统金融机构和网贷业等新金融行业中都形成了业内首创的商业模式和行业解决方案，在提供高效的支付结算服务的基础上，满足其全方位的金融及数据增值服务需求。,    公司拥有一支经验丰富的高管团队和勇于创新的员工队伍，管理团队均拥有超过15年的支付、金融、科技、管理等相关行业领域的工作经验，研发人员比例超过35%。在人才建设高速发展的基础上，公司凭借专业深厚的技术能力、多元高效的销售渠道、统一集成的运营平台以及全面稳健的风险管理，已服务超过580万小微商户、1500家新金融机构以及4000家垂直行业客户，积累超过2700万账户。,    强大的技术研发与数据应用能力是公司持续发展的核心动力。公司已在人工智能、大数据、云服务等前沿技术领域作出重大投入并取得显著成效。2017年，公司成为***获得上海市政府人工智能创新发展项目资金支持的支付公司。历年来，公司已荣获国家重点软件企业、上海市科技小巨人、上海市高新技术企业等各类技术认定资质。,    公司的高速发展赢得了各级政府和权威机构的充分认可。目前已连续三年荣获上海市政府颁发的金融创新奖，也成功获得毕马威2016“中国领先金融科技50强”、2015达沃斯论坛“全球成长型公司”、德勤“高科技、高成长企业亚太地区50强”等国内外各项荣誉。公司是中国支付清算协会副理事长单位、中国互联网金融行业协会理事单位、上海市互联网金融协会副会长单位。",汇付天下有限公司,"互联网/电子商务,金融/投资/证券",2年经验,数据建模师（机器学习） (MJ000272),1000-5000人,民营公司,"岗位职责：,1,0,0,0,0,0,0利用机器学习相关算法解决数据分析及数据挖掘方面的问题；,2,0,0,0,0,0,0根据业务需求，参与业务分析、特征分析、模型建立、算法实现等过程，并逐步迭代算法效果。,0,任职要求：,1,0,0,0,0,0,0优秀的分析问题和解决问题的能力,2,0,0,0,0,0,0熟练掌握图像识别、自然语言处理、知识图谱、风控反欺诈等至少一方面基本算法,3,0,0,0,0,0,0对机器学习开源库,开源框架熟悉并能熟练使用，掌握,等编程语言，熟悉,开发环境,4,0,0,0,0,0,0计算机、数学等相关专业，具有机器学习、数据挖掘、统计分析相关背景,5,0,0,0,0,0,0具有较强的学习和研究能力，英语熟练，能够读懂英文技术资料，具有良好的沟通能力，和良好的团队合作精神,0,有以下经验者优先：,基于各种关系网络数据，运用图挖掘算法，挖掘用户特征，辅助风控反欺诈等业务方向,基于小样本数据，采用半监督、无监督算法在支付反欺诈系统有成功研发及部署经验,职能类别：",1.8-2.8万/月,本科
"五险一金,年终奖金,弹性工作","上海互问信息科技有限公司，是一家人工智能领域的创业公司，,坐落在上海张江高科技术园区。公司主要从事语音信号处理、语音控制、,语音识别、语义理解、智能对话系统和指纹识别等人工智能相关技术的研究与开发。公司的多款,产品已经在智能家居、智能硬件、音箱、机器人等行业中得到了广泛应用,和客户的好评。我们是一个富有激情和热情的人工智能创业团队，团队的,核心人员大部分来自复旦大学、华东理工、上海交大、西工大、英国利物浦,等知名高校。,我们坚信人工智能必将渗透到我们生活中的方方面面。现在，我们虚位以待，,期待你和我们一起见证和实现这个过程。",上海互问信息科技有限公司,"电子技术/半导体/集成电路,计算机软件",在校生/应届生,机器学习工程师(上海 深圳),50-150人,创业公司,"岗位职责：,1、应用机器学习方法建立数据模型解决实际问题和不断研发创新；,2、基于大数据进行语音识别算法实现；,3、为公司产品项目训练模型，支持常规产品项目；,4、协助数据组进行大数据处理。,任职资格：,1、计算机、数据挖掘、应用数学、统计学等相关专业，本科及以上学历；,2、熟悉常用的机器学习模型及使用技巧，有深度学习经验者优先；,3、对图像识别、语音识别等相关领域熟悉并且精通其中一个方向；,4、熟悉,等，会操作,系统；,5、良好的编程能力，算法设计能力，具备大规模数据处理能力；,6、善于与人沟通，对工作认真负责，能够承担一定的工作压力；,7、具有良好的团队合作精神，为人正直，善于学习；,工作地址,上海市浦东新区盛夏路570号12楼,职能类别：",1.5-3万/月,硕士
none,"公司信息,万得信息技术股份有限公司（下称：Wind）是中国大陆领先的金融数据、信息和软件服务企业，总部位于上海陆家嘴金融中心。公司成立于1994年，员工人数近2500人，其中产品、技术队伍超过600人。,万得信息技术股份有限公司（下称：Wind）是中国大陆领先的金融数据、信息和软件服务企业，总部位于上海陆家嘴金融中心。 在国内市场，Wind的客户包括中国绝大多数的证券公司、基金管理公司、保险公司、银行和投资公司等金融企业；在国际市场，已经被中国证监会批准的合格境外机构投资者（QFII）中的众多机构是Wind的客户。同时国内多数知名的金融学术研究机构和权威的监管机构也是我们的客户，大量中英文媒体、研究报告、学术论文等经常引用Wind提供的数据。,在金融财经数据领域，Wind已建成国内完整、准确的以金融证券数据为核心一流的大型金融工程和财经数据仓库，数据内容涵盖股票、基金、债券、外汇、保险、期货、金融衍生品、现货交易、宏观经济、财经新闻等领域，新的信息内容及时进行更新以满足机构投资者的需求。 针对金融业的投资机构、研究机构、学术机构、监管部门机构等不同类型客户的需求，Wind开发了一系列围绕信息检索、数据提取与分析、投资组合管理应用等领域的专业分析软件与应用工具。通过这些终端工具，用户可以7x24x365从Wind获取到及时、准确、完整的财经数据、信息和各种分析结果。 精于数据，以数据为起点，Wind紧密跟随金融市场日新月异的发展，不断向新的领域发展，新的产品和服务战略不断在延伸。,公司具有极强的自主研发能力，公司产品全部拥有自主知识产权，拥有十多项软件著作权，公司是国家高新技术企业、国家重点软件企业。,高速发展的Wind，真诚的邀请广大有志之士加盟Wind大家庭！",万得信息技术股份有限公司（Wind资讯）,"计算机软件,金融/投资/证券",3-4年经验,机器学习算法工程师(TA0003),1000-5000人,民营公司,"工作职责：,1、针对公司的金融数据和不同业务场景研究、设计、实现相应的机器学习算法，并转化为对用户有价值的产品,2、调研各种基础和前沿机器学习算法，构建算法库和算法平台,3、负责海量数据分布式计算平台建设；,4、负责大规模并行机器学习算法研发应用工作；,任职要求：,1,机器学习,数据挖掘相关专业，扎实的数据结构和算法功底，并具有实际项目经验,2,研究能力强，能快速调研并实现或改造各种机器学习算法；,3,有工作热情和钻研精神，善于进行挑战性的工作，具有优秀的团队协作精神,5、编程能力强，熟悉,或者,4,有深度学习经验的优先，有海量数据处理（如,、,）经验的优先,职能类别：",,本科
"五险一金,补充医疗保险,交通补贴,餐饮补贴,弹性工作,定期体检","上海机颖智能科技有限公司是人工智能行业自动机器学习建模软件的美资公司。成立于2015年4月，总部位于美国硅谷，R2.ai由人工智能领域内***胆和富有创意的精英组成，他们将创意转化为完美设计的人工智能应用程序。 将我们所有人紧紧联系在一起的是一个共同的梦想，我们相信：我们的精湛科技可以帮助加速各行各业的人工智能应用，创造一个更美好的世界。,R2.ai是帮助创造AI的AI。我们拥有全球最领先的AI开发技术和广泛的应用场景。我们的愿景是搭建具有前瞻性的AI平台和社区，加速AI在各行业的应用，造福社会。,R2.ai 正在快速发展，已经分别在美国硅谷，上海（上海机颖智能科技有限公司），杭州（杭州睿拓智能科技有限公司）开设分公司。我们诚邀各界精英加入R2.ai，共同实现跨越式的AI技术革命！,公司官网：www.r2ai.com.cn",上海机颖智能科技有限公司,计算机软件,1年经验,机器学习工程师,50-150人,外资（欧美）,"1、负责具体项目数据分析的调研、分析及建模实现；,0,0,0,0,0,0,4、基于行业真实数据，能够从数据中针对业务场景、客户需求，进行数据挖掘方案规划；,0,0,0,职位要求,0,0,0,0,0,0,0,0,0,0,0,0,0,2,、全面负责项目的需求分析及与客户进行具体的沟通交流、项目实施等环节；,3,、项目进行中，根据实际情况，评估项目难点、项目节点可行性；,5,、撰写专题项目分析总结报告。,1,、统计学，数学，计算机等专业，硕士及以上学历，博士优先；,2,、精通英语，具有扎实的英文文献阅读能力；口语不作要求,3,、精通,，熟悉机器学习、深度学习等主流算法；,4,、高度的自我管理，责任心强，工作中善于积极主动沟通。,（很重要）,职能类别：,关键字：",2-2.5万/月,硕士
